73,sar,go,kill,usn,swine,flu,go,kill,usn,mayan,calendar,predict,world,endingnu,,
74,nicholsupris,franc,close,restaur,,,,,,,,,,,,
75,madisonhogu,faith,fearnnread,,,,,,,,,,,,,
76,fear,weaken,immun,psycholog,circumst,matter,,,,,,,,,,
77,willharrisaoaf,chiefkeef,shoot,like,im,kobe,that,damn,good,song,man,time,fear,kobe,beu,
78,cryptomaniac,thread,break,mr,pool,tweet,predict,correctli,mindblowingu,,,,,,,
79,defyingcynthia,pandem,pass,,,,,,,,,,,,,
80,agotisidro,njcpunongbayan,npinoyakoblog,nmrfrankbaraan,,,,,,,,,,,,
81,hershaelyork,fear,catch,coronaviru,bit,ill,surviveor,fear,spread,want,sens,ofu,,,,
82,let,fear,rule,life,perfectli,safe,eat,just,wash,hand,mindfulu,,,,,
83,spursitkhub,hear,,,,,,,,,,,,,,
84,nastialiukin,virus,contagi,panic,,,,,,,,,,,,
85,jonflan,besieg,report,,,,,,,,,,,,,
86,nice,benefitncatch,wfriendscolleagu,deal,new,world,order,nour,old,world,complet,smashednwhu,,,,
87,jongordon,fear,,,,,,,,,,,,,,
88,newyork,uci,fear,,,,,,,,,,,,,
89,salmannizami,uighur,muslim,lock,china,kashmiri,muslim,lock,indiannth,world,mum,,,,,
90,ildatalk,final,,,,,,,,,,,,,,
91,mehrtarar,world,goe,self,govern,impos,isol,,,,,,,,,
92,sar,go,kill,usn,swine,flu,go,kill,usn,mayan,calendar,predict,world,endingnu,,
93,samtripoli,watch,fear,monger,finest,lie,liar,lie,year,lyu,,,,,,
94,alessio,man,achiev,worthwhil,success,did,,,,,,,,,,
95,kimsax,,,,,,,,,,,,,,,
96,dcexamin,matter,,,,,,,,,,,,,,
97,itsantwright,live,wyom,,,,,,,,,,,,,
98,pitbulllov,coronaviru,fear,touch,face,touch,peopl,bodi,realli,fuck,hard,mosu,,,,
99,jasor,epinardatsushi,unfoun,peopl,care,social,media,beingu,,,,,,,,
100,vofeurop,case,coronaviru,hit,lesbo,greek,fear,viru,spread,migrant,camp,,,,,
101,hamillhimself,thing,fear,fear,fdrnnask,countri,,,,,,,,,,
102,disadvantag,kitnnuafraid,bugsnuperfectionistnuh,groceri,shoppingnune,fan,sleepnutak,mau,,,,,,,,
103,sar,go,kill,usn,swine,flu,go,kill,usn,mayan,calendar,predict,world,endingnu,,
104,priestu,remind,today,instead,panic,fear,,,,,,,,,,
105,faith,real,one,got,back,,,,,,,,,,,
106,worst,point,fearpan,asset,look,alik,gold,gcj,bitcoin,brrh,du,,,,,
107,luvpjm,jimin,gravityu,biggest,fear,,,,,,,,,,,
108,lvnanci,dont,mad,matt,colvin,,,,,,,,,,,
109,samtripoli,watch,fear,monger,finest,lie,liar,lie,year,lyu,,,,,,
110,samobiwon,jameskasmith,peopl,want,assuag,fear,dive,mind,waysu,,,,,,,
111,thejesusmessag,fear,,,,,,,,,,,,,,
112,robbystarbuck,straight,insan,watch,stuff,,,,,,,,,,,
113,darkenigmat,uddudeenough,mockingbird,media,dnc,tri,politic,viru,sheep,go,wake,andu,,,,
114,kathydrog,instead,fear,amp,panic,lifetim,threat,let,pull,kind,,,,,,
115,salmannizami,uighur,muslim,lock,china,kashmiri,muslim,lock,indiannth,world,mum,,,,,
116,sar,go,kill,usn,swine,flu,go,kill,usn,mayan,calendar,predict,world,endingnu,,
117,captfrightnit,uufefn,kind,cashier,pack,groceriesn,buy,stupid,amount,toiletriesfood,dont,neeu,,,,
118,coleyp,choos,worship,worri,faith,fear,,,,,,,,,,
119,sruhl,enorm,fear,airlinetravel,event,busi,coronaviru,busi,recalibr,make,compani,decu,,,,
120,alexia,ianbremm,authoritarian,govern,propaganda,feardriven,rule,silenc,whistleblow,caus,theu,,,,,
121,alexisohanian,wrong,theranosny,wrong,covidufc,nnthi,stoke,fear,,,,,,,,
122,tiffanydcross,new,hope,temporari,realiti,rememb,anxieti,fear,decreas,immun,stay,strong,,,,
123,brumbyoz,ndtv,give,space,danger,idea,potenti,caus,mass,casualti,,,,,,
124,ucth,scari,dese,ocean,blood,,,,,,,,,,,
125,cjcflint,american,presidentsnnkennedi,nich,bin,ein,berlinernnfdr,nonli,thing,fear,,,,,,
126,joesilverman,roddreh,robprovinc,rdvaleri,theori,peopl,usual,er,bump,andu,,,,,,
127,krisstel,letu,start,spread,faith,instead,fear,,,,,,,,,
128,ciaraioch,udcudfb,home,templ,bar,gowl,,,,,,,,,,
129,drbillwinston,fear,make,say,thing,thought,youud,say,hold,tongu,constitut,,,,,
130,craiggroeschel,world,shaken,,,,,,,,,,,,,
131,albertpagunsan,thread,martial,lawnni,think,peopl,absolut,curfew,lockdown,peopl,just,fearu,,,,
132,iamraoulmanuel,hi,ms,bianca,lockdown,curfew,caus,widespread,fear,,,,,,,
133,kanchangupta,im,pretti,sure,arvindkejriw,know,fact,know,lie,brazenli,know,brazen,lie,isu,,
134,mahiefi,overcam,fear,water,guy,preciou,lil,beanuddudeu,shehnaazgil,sidnaaz,,,,,,
135,sar,go,kill,usn,swine,flu,go,kill,usn,mayan,calendar,predict,world,endingnu,,
136,dont,fear,defeat,believ,reveal,power,didnt,know,possess,napoleon,hill,,,,,
