76,mattmurph,say,guy,get,ass,kick,ballot,box,,,,,,,
77,yoongi,laugh,littl,suitcas,gestur,car,jimin,nod,,,,,,,
78,notcapnamerica,far,heu,brought,peopl,vote,,,,,,,,,
79,neeratanden,place,measur,enthusiasm,ballot,box,,,,,,,,,
80,notcapnamerica,far,heu,brought,peopl,vote,,,,,,,,,
81,hawaiidelilah,million,american,say,ye,nnpopular,vote,count,democrat,primari,far,nnbiden,,,
82,justamicrodip,seen,come,bullshit,twitter,furi,earli,jan,china,headlin,max,eu,,,
83,raffin,thehil,thereu,excit,biden,trump,field,day,joedementia,,,,,,
84,ye,,,,,,,,,,,,,,
85,skylineempress,throb,excit,hop,uddudcuddudc,nrt,wan,na,jump,udeudduddudc,,,,,
86,marshalljuliu,year,make,,,,,,,,,,,,
87,berniesand,peopl,donut,want,ucexcitementud,nnpeopl,exhaust,nnwe,wantngood,old,fashion,decenc,amp,compu,
88,notcapnamerica,far,heu,brought,peopl,vote,,,,,,,,,
89,bhoadventur,bassproshop,iuv,watch,excit,build,,,,,,,,,
90,ye,joebiden,heu,driven,turnout,,,,,,,,,,
91,chrisdjackson,comic,joebiden,command,lead,primari,increas,turnout,state,wonu,,,,,
92,mattmurph,im,sick,selfish,po,,,,,,,,,,
93,thehil,sen,berni,sander,joe,,,,,,,,,,
94,rebelpatriotpix,thehil,excit,iuv,quit,ucexcitementud,year,bazillion,lifetim,wantu,,,,,
95,vetthebern,biden,berni,support,video,game,vote,,,,,,,,
96,mass,repo,tweet,heavili,edit,berni,appear,sick,theyr,desper,click,time,uufefu,,
97,hawaiidelilah,million,american,say,ye,nnpopular,vote,count,democrat,primari,far,nnbiden,,,
98,mask,djsnoverplayedneveryon,know,arenboringnnmask,murderersnadd,excitementnha,purposenbett,halloween,,,,,,,
99,linkerbilli,thehil,ive,vote,elect,motiv,excitementu,,,,,,,,
100,icdesu,felt,excit,,,,,,,,,,,,
101,thehil,sen,berni,sander,joe,,,,,,,,,,
102,ambernewslv,newslv,gezz,,,,,,,,,,,,
103,hawaiidelilah,million,american,say,ye,nnpopular,vote,count,democrat,primari,far,nnbiden,,,
104,iofbvh,mass,report,tweet,heavili,edit,berni,appear,sick,theyr,desper,click,time,uufef,
105,notcapnamerica,far,heu,brought,peopl,vote,,,,,,,,,
106,jayvossen,great,excit,,,,,,,,,,,,
107,neeratanden,place,measur,enthusiasm,ballot,box,,,,,,,,,
108,razingarizona,thehil,berni,,,,,,,,,,,,
109,hawaiidelilah,million,american,say,ye,nnpopular,vote,count,democrat,primari,far,nnbiden,,,
110,rmonolisa,jungkook,,,,,,,,,,,,,
111,cmclymer,respect,sen,sander,,,,,,,,,,,
112,notcapnamerica,he,live,altern,realiti,gener,excit,beat,trumu,,,,,,
113,thehil,sen,berni,sander,joe,,,,,,,,,,
114,jiiiiuuuuu,,,,,,,,,,,,,,
115,wxdam,lot,valid,critiqu,biden,,,,,,,,,,
116,tomorrow,slack,countri,cup,hip,jam,terrain,park,decid,open,guest,pm,,,
117,peac,mind,strength,inner,charact,address,navig,present,stay,away,knu,,,,
118,baddiebx,need,excit,life,whew,,,,,,,,,,
119,chrisdjackson,comic,joebiden,command,lead,primari,increas,turnout,state,wonu,,,,,
120,shuailormoon,love,way,joshuau,eye,widen,amp,excit,,,,,,,
121,look,like,tomorrow,debat,go,lit,,,,,,,,,
122,berni,sander,suppoer,obsess,idea,ucexcitementud,necessari,compon,ofu,,,,,,
123,amanealo,brook,follow,professor,stair,consider,excit,,,,,,,,
124,vetthebern,biden,berni,support,video,game,vote,,,,,,,,
125,kaivanshroff,berni,claim,increas,turnout,didnut,nnjoe,claim,turnout,state,biden,won,,,
126,notcapnamerica,far,heu,brought,peopl,vote,,,,,,,,,
127,chrisdjackson,comic,joebiden,command,lead,primari,increas,turnout,state,wonu,,,,,
128,jayvossen,great,excit,,,,,,,,,,,,
129,vinxi,laezei,hat,omar,rain,day,thatu,extent,excit,life,,,,,
130,hawaiidelilah,million,american,say,ye,nnpopular,vote,count,democrat,primari,far,nnbiden,,,
131,lazversal,week,ago,cj,post,imag,ucfak,newsud,thought,cyber,forens,imag,led,,
132,minjiimini,yoongi,laugh,littl,suitcas,gestur,car,jimin,nod,,,,,,
133,rmonolisa,jungkook,,,,,,,,,,,,,
134,neeratanden,place,measur,enthusiasm,ballot,box,,,,,,,,,
135,jeaniesound,mask,djsnoverplayedneveryon,know,arenboringnnmask,murderersnadd,excitementnha,purposenbett,fu,,,,,,
136,thehil,sen,berni,sander,joe,,,,,,,,,,
137,shuailormoon,love,way,joshuau,eye,widen,amp,excit,,,,,,,
138,kaivanshroff,berni,claim,increas,turnout,didnut,nnjoe,claim,turnout,state,biden,won,httu,,
139,saturdaythought,excit,movi,collidervideo,teamactionshow,,,,,,,,,,
140,iofbvh,mass,report,tweet,heavili,edit,berni,appear,sick,theyr,desper,click,time,uufef,
141,rmonolisa,jungkook,,,,,,,,,,,,,
142,chrisdjackson,comic,joebiden,command,lead,primari,increas,turnout,state,wonu,,,,,
143,rmonolisa,jungkook,,,,,,,,,,,,,
144,nigga,shut,fuck,,,,,,,,,,,,
145,donut,think,peopl,understand,excit,kinda,suck,,,,,,,,
146,contentedindi,guy,line,line,,,,,,,,,,,
147,thehil,sen,berni,sander,joe,,,,,,,,,,
148,thehil,confid,need,excit,oh,,,,,,,,,,
149,neeratanden,place,measur,enthusiasm,ballot,box,,,,,,,,,
150,creat,excit,organ,,,,,,,,,,,,
151,thehil,sen,berni,sander,joe,,,,,,,,,,
152,uaudcudffeudeudddudcudff,,,,,,,,,,,,,,
153,neeratanden,place,measur,enthusiasm,ballot,box,,,,,,,,,
154,thehil,sen,berni,sander,joe,,,,,,,,,,
155,michellmybel,surgerysleep,lalanamour,rithcheng,teiusiii,donholtmac,nicomanocchio,leeperdigu,,,,,,,
156,enhanc,today,excit,,,,,,,,,,,,
157,thehil,theyr,old,men,dont,think,go,creat,excit,gener,,,,,
158,drive,turnout,pipe,dream,unpreced,histor,turnout,hasnut,happen,sou,,,,,
159,bendi,hyperventil,excit,,,,,,,,,,,,
160,neeratanden,place,measur,enthusiasm,ballot,box,,,,,,,,,
161,iofbvh,mass,report,tweet,heavili,edit,berni,appear,sick,theyr,desper,click,time,uufef,
162,thehil,caus,berni,scream,excit,nndropoutberni,,,,,,,,,
163,agre,sander,need,excit,candid,like,excit,vote,theu,,,,,,
164,thehil,sen,berni,sander,joe,,,,,,,,,,
165,ium,enteain,impress,men,day,like,whereu,excit,essenc,amp,bore,ass,convers,,
166,minjiimini,yoongi,laugh,littl,suitcas,gestur,car,jimin,nod,,,,,,
167,omumacaw,stop,daydream,soon,kitten,babi,tail,have,dream,uddudcudeuddcuddudcuddudcnnold,art,,,,
168,raffin,thehil,bern,biden,vote,deleg,thereu,excit,nominationnndu,,,,,,
169,sabrinasu,bhoadventur,bassproshop,iuv,watch,excit,build,,,,,,,,
170,neeratanden,place,measur,enthusiasm,ballot,box,,,,,,,,,
171,drpeterlang,trump,demolish,biden,terribl,send,man,cognit,impair,sociopathu,,,,,
172,akasshagupta,spotboy,delet,tweet,poke,hole,articl,intend,creat,issu,asimriazsu,,,,
173,thehil,sen,berni,sander,joe,,,,,,,,,,
174,ung,excit,na,napuno,nalang,ng,lungkot,,,,,,,,
175,neeratanden,place,measur,enthusiasm,ballot,box,,,,,,,,,
176,neeratanden,place,measur,enthusiasm,ballot,box,,,,,,,,,
177,omumacaw,stop,daydream,soon,kitten,babi,tail,have,dream,uddudcudeuddcuddudcuddudcnnold,art,,,,
178,rmonolisa,jungkook,,,,,,,,,,,,,
179,chrisdjackson,comic,joebiden,command,lead,primari,increas,turnout,state,wonu,,,,,
180,ladychan,hold,excit,world,knownni,voic,zee,proof,concept,birth,broken,memou,,,
181,neeratanden,place,measur,enthusiasm,ballot,box,,,,,,,,,
182,rmonolisa,jungkook,,,,,,,,,,,,,
183,um,,,,,,,,,,,,,,
184,rmonolisa,jungkook,,,,,,,,,,,,,
185,passion,life,excit,need,,,,,,,,,,,
